n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
100,100,1.0,1,1.0,0.02,27,1000,491328.4919810956,4913.284919810956,1.0,923.108935038369
100,100,1.0,1,1.0,0.02,28,1000,492792.6118751059,4927.926118751059,1.0,915.2454202163299
100,100,1.0,1,1.0,0.02,29,1000,496318.61316577176,4963.186131657718,1.0,1082.3892870660745
100,100,1.0,1,1.0,0.02,30,1000,491625.1934063523,4916.251934063523,1.0,1033.7225835021245
100,100,1.0,1,1.0,0.02,31,1000,493442.3220259801,4934.423220259801,1.0,999.4010764575639
100,100,1.0,1,1.0,0.02,32,1000,506528.48646953393,5065.284864695339,1.0,1077.0737449022258
100,100,1.0,1,1.0,0.02,33,1000,494907.6585197862,4949.076585197862,1.0,1052.8525680111734
100,100,1.0,1,1.0,0.02,34,1000,493492.7853435488,4934.927853435488,1.0,1102.6264633370497
100,100,1.0,1,1.0,0.02,35,1000,502086.3654611588,5020.863654611588,1.0,1066.6801091369184
100,100,1.0,1,1.0,0.02,36,1000,495700.45826262445,4957.004582626245,1.0,1088.8173331064136
100,100,1.0,1,1.0,0.02,37,1000,504017.8947969138,5040.178947969138,1.0,1079.9555317199674
100,100,1.0,1,1.0,0.02,38,1000,503316.6708463678,5033.166708463677,1.0,968.7368166651222
100,100,1.0,1,1.0,0.02,39,1000,492891.18977160304,4928.911897716031,1.0,1042.3590679607962
100,100,1.0,1,1.0,0.02,40,1000,493243.8974172663,4932.438974172663,1.0,1060.104525860489
100,100,1.0,1,1.0,0.02,41,1000,500738.797161737,5007.38797161737,1.0,1068.1567737533678
100,100,1.0,1,1.0,0.02,42,1000,491583.6572768211,4915.836572768211,1.0,910.9170434262307
100,100,1.0,1,1.0,0.02,43,1000,496562.30080360314,4965.623008036031,1.0,899.8792581556115
100,100,1.0,1,1.0,0.02,44,1000,501375.0885344055,5013.750885344055,1.0,974.8234268897797
100,100,1.0,1,1.0,0.02,45,1000,487533.11632438644,4875.3311632438645,1.0,1068.5544203587815
100,100,1.0,1,1.0,0.02,46,1000,492281.8041818144,4922.818041818145,1.0,961.0517695488109
100,100,1.0,1,1.0,0.02,47,1000,500615.4163653952,5006.154163653951,1.0,1213.3516206642105
100,100,1.0,1,1.0,0.02,48,1000,495364.8111878277,4953.648111878278,1.0,986.4759212977452
100,100,1.0,1,1.0,0.02,49,1000,488063.6013093042,4880.636013093042,1.0,1015.1909181779426
100,100,1.0,1,1.0,0.03,0,1000,509363.00929836475,5093.630092983647,1.0,863.5639909137976
100,100,1.0,1,1.0,0.03,1,1000,500960.9706736806,5009.609706736806,1.0,923.4076984425241
100,100,1.0,1,1.0,0.03,2,1000,499714.0252085168,4997.140252085168,1.0,864.3776053990838
100,100,1.0,1,1.0,0.03,3,1000,498887.2444380981,4988.872444380981,1.0,846.996471552615
100,100,1.0,1,1.0,0.03,4,1000,498368.10972330254,4983.681097233025,1.0,909.4482062973867
100,100,1.0,1,1.0,0.03,5,1000,503160.24811001244,5031.602481100124,1.0,959.1540569869356
100,100,1.0,1,1.0,0.03,6,1000,503102.3823656828,5031.023823656828,1.0,872.4256025428581
100,100,1.0,1,1.0,0.03,7,1000,507754.6970640362,5077.546970640362,1.0,905.9294890439571
100,100,1.0,1,1.0,0.03,8,1000,500954.2412209609,5009.542412209609,1.0,829.0942732887053
100,100,1.0,1,1.0,0.03,9,1000,505216.68403867056,5052.166840386705,1.0,877.9747998270311
100,100,1.0,1,1.0,0.03,10,1000,500707.5683096081,5007.075683096081,1.0,832.5471059138434
100,100,1.0,1,1.0,0.03,11,1000,497210.6368491624,4972.106368491624,1.0,917.8071788028489
100,100,1.0,1,1.0,0.03,12,1000,501741.9314819957,5017.4193148199565,1.0,878.630616562488
100,100,1.0,1,1.0,0.03,13,1000,505139.38897993544,5051.393889799354,1.0,946.6508733509568
100,100,1.0,1,1.0,0.03,14,1000,509071.883792354,5090.71883792354,1.0,981.8534860475507
100,100,1.0,1,1.0,0.03,15,1000,504820.60700285935,5048.206070028594,1.0,954.5303861790557
100,100,1.0,1,1.0,0.03,16,1000,509542.518281176,5095.425182811759,1.0,908.750243328273
100,100,1.0,1,1.0,0.03,17,1000,505007.03679333435,5050.070367933344,1.0,939.8385201778115
100,100,1.0,1,1.0,0.03,18,1000,503472.38255511504,5034.72382555115,1.0,864.4640586385161
100,100,1.0,1,1.0,0.03,19,1000,505279.4651948992,5052.7946519489915,1.0,894.0769892283981
100,100,1.0,1,1.0,0.03,20,1000,500207.2698165082,5002.072698165082,1.0,873.6924002593788
100,100,1.0,1,1.0,0.03,21,1000,499954.6304063845,4999.546304063845,1.0,913.284857744716
100,100,1.0,1,1.0,0.03,22,1000,506466.02359748975,5064.660235974898,1.0,894.8090294308035
100,100,1.0,1,1.0,0.03,23,1000,511212.51148079097,5112.12511480791,1.0,1020.3890049467018
100,100,1.0,1,1.0,0.03,24,1000,509015.81657617603,5090.158165761761,1.0,1025.9740269930473
100,100,1.0,1,1.0,0.03,25,1000,503661.9244107402,5036.619244107402,1.0,906.5745709864971
100,100,1.0,1,1.0,0.03,26,1000,500591.728271425,5005.91728271425,1.0,970.3959309668779
100,100,1.0,1,1.0,0.03,27,1000,502956.76400645194,5029.56764006452,1.0,883.7619658491461
100,100,1.0,1,1.0,0.03,28,1000,506982.30070868006,5069.8230070868,1.0,838.0034467139855
100,100,1.0,1,1.0,0.03,29,1000,502416.9740640524,5024.169740640524,1.0,962.1584784211617
100,100,1.0,1,1.0,0.03,30,1000,503421.81942971086,5034.218194297108,1.0,891.0536684115802
100,100,1.0,1,1.0,0.03,31,1000,503776.50474931294,5037.76504749313,1.0,962.3902603009496
100,100,1.0,1,1.0,0.03,32,1000,504291.17233758216,5042.911723375822,1.0,798.8315459829058
100,100,1.0,1,1.0,0.03,33,1000,503085.59286174603,5030.85592861746,1.0,908.9521660036337
100,100,1.0,1,1.0,0.03,34,1000,506228.2766557451,5062.282766557451,1.0,969.9399784591429
100,100,1.0,1,1.0,0.03,35,1000,507530.44096734765,5075.304409673477,1.0,957.6776751595058
100,100,1.0,1,1.0,0.03,36,1000,501049.09589108784,5010.490958910878,1.0,880.8215628448121
100,100,1.0,1,1.0,0.03,37,1000,499365.83272434416,4993.658327243442,1.0,895.387980604122
100,100,1.0,1,1.0,0.03,38,1000,513431.9440704005,5134.319440704005,1.0,916.798467211136
100,100,1.0,1,1.0,0.03,39,1000,502715.5033637903,5027.155033637903,1.0,881.3245745222816
100,100,1.0,1,1.0,0.03,40,1000,512534.4780087624,5125.344780087624,1.0,943.2680271842728
100,100,1.0,1,1.0,0.03,41,1000,493064.69719872496,4930.646971987249,1.0,833.2207311235651
100,100,1.0,1,1.0,0.03,42,1000,501584.5564011975,5015.8455640119755,1.0,828.477838563688
100,100,1.0,1,1.0,0.03,43,1000,509291.3015712225,5092.9130157122245,1.0,1044.5248852479683
100,100,1.0,1,1.0,0.03,44,1000,509031.9992396556,5090.319992396556,1.0,908.2647332900284
100,100,1.0,1,1.0,0.03,45,1000,504146.71338356094,5041.467133835609,1.0,918.4459023550919
100,100,1.0,1,1.0,0.03,46,1000,497533.96282127255,4975.339628212725,1.0,832.3622133094468
100,100,1.0,1,1.0,0.03,47,1000,511480.65285444027,5114.806528544403,1.0,969.7449125631875
100,100,1.0,1,1.0,0.03,48,1000,502701.40994319395,5027.01409943194,1.0,896.2433361900902
100,100,1.0,1,1.0,0.03,49,1000,507401.9434709951,5074.019434709951,1.0,897.8059994304497
