n_agents,n_arms,agent_to_arm_ratio,agents_per_arm,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
100,50,2.0,2,1.0,0.05,1,1000,105321.11752385544,1053.2111752385545,1.0,113.16482981900906
100,50,2.0,2,1.0,0.05,2,1000,105680.1632720896,1056.8016327208961,1.0,125.51893032946933
100,50,2.0,2,1.0,0.05,3,1000,104818.35821025062,1048.183582102506,1.0,131.55586145504162
100,50,2.0,2,1.0,0.05,4,1000,106060.73091506885,1060.6073091506885,1.0,115.13620779903803
100,50,2.0,2,1.0,0.05,5,1000,105027.01332169418,1050.2701332169418,1.0,112.10848654739084
100,50,2.0,2,1.0,0.05,6,1000,105832.17147439353,1058.3217147439352,1.0,116.10604385730245
100,50,2.0,2,1.0,0.05,7,1000,105850.44854237202,1058.50448542372,1.0,110.06274324321848
100,50,2.0,2,1.0,0.05,8,1000,106193.47723508804,1061.9347723508804,1.0,116.12052575275926
100,50,2.0,2,1.0,0.05,9,1000,105492.65300093204,1054.9265300093205,1.0,138.0320432835407
100,50,2.0,2,1.0,0.05,10,1000,105805.17811441698,1058.0517811441698,1.0,118.11234224898418
100,50,2.0,2,1.0,0.05,11,1000,105450.8219421811,1054.508219421811,1.0,120.69778081701239
100,50,2.0,2,1.0,0.05,12,1000,105619.9503329473,1056.199503329473,1.0,130.87869160687467
100,50,2.0,2,1.0,0.05,13,1000,106245.306404196,1062.45306404196,1.0,127.4083800096125
100,50,2.0,2,1.0,0.05,14,1000,105901.37478642908,1059.0137478642907,1.0,112.09817182323174
100,50,2.0,2,1.0,0.05,15,1000,105639.06092614139,1056.3906092614138,1.0,106.62200549967407
100,50,2.0,2,1.0,0.05,16,1000,105888.51178146042,1058.8851178146042,1.0,132.88676286000467
100,50,2.0,2,1.0,0.05,17,1000,105577.32184401865,1055.7732184401864,1.0,116.80133789135303
100,50,2.0,2,1.0,0.05,18,1000,106508.53741455899,1065.0853741455899,1.0,118.6315823557048
100,50,2.0,2,1.0,0.05,19,1000,105513.25338847014,1055.1325338847014,1.0,129.8355373871042
100,50,2.0,2,1.0,0.05,20,1000,105624.36741670742,1056.2436741670742,1.0,116.8439768775606
100,50,2.0,2,1.0,0.05,21,1000,105296.87896855477,1052.9687896855476,1.0,125.82586092160012
100,50,2.0,2,1.0,0.05,22,1000,105975.60475561755,1059.7560475561754,1.0,115.689715753926
100,50,2.0,2,1.0,0.05,23,1000,105861.41994558435,1058.6141994558434,1.0,130.0693471393028
100,50,2.0,2,1.0,0.05,24,1000,106368.34200351841,1063.683420035184,1.0,122.44417603179764
100,50,2.0,2,1.0,0.05,25,1000,105762.37146270418,1057.6237146270419,1.0,103.21868782846218
100,50,2.0,2,1.0,0.05,26,1000,104544.70099998094,1045.4470099998093,1.0,113.38026166476335
100,50,2.0,2,1.0,0.05,27,1000,105210.24723507543,1052.1024723507542,1.0,125.46064325256414
100,50,2.0,2,1.0,0.05,28,1000,105757.98916296817,1057.5798916296817,1.0,111.76402491867874
100,50,2.0,2,1.0,0.05,29,1000,106087.88803727193,1060.8788803727193,1.0,121.65544341032454
100,50,2.0,2,1.0,0.05,30,1000,105115.5147374293,1051.155147374293,1.0,132.54447277833827
100,50,2.0,2,1.0,0.05,31,1000,106713.72066659684,1067.1372066659685,1.0,125.0901213375013
100,50,2.0,2,1.0,0.05,32,1000,105895.50367577242,1058.9550367577242,1.0,107.69188895257581
100,50,2.0,2,1.0,0.05,33,1000,105827.64250026613,1058.2764250026612,1.0,128.0882588164883
100,50,2.0,2,1.0,0.05,34,1000,105976.3732395189,1059.763732395189,1.0,115.78087836145916
100,50,2.0,2,1.0,0.05,35,1000,105293.48989854324,1052.9348989854325,1.0,114.96581451517983
100,50,2.0,2,1.0,0.05,36,1000,105644.5213021347,1056.445213021347,1.0,123.11897820071299
100,50,2.0,2,1.0,0.05,37,1000,104985.84866208798,1049.8584866208798,1.0,128.36647683513766
100,50,2.0,2,1.0,0.05,38,1000,106954.22057279639,1069.5422057279638,1.0,124.90921210348564
100,50,2.0,2,1.0,0.05,39,1000,105402.54455294159,1054.025445529416,1.0,117.80147646458673
100,50,2.0,2,1.0,0.05,40,1000,105046.46388333046,1050.4646388333047,1.0,117.72957696654925
100,50,2.0,2,1.0,0.05,41,1000,107080.82793377808,1070.8082793377807,1.0,134.48631439666892
100,50,2.0,2,1.0,0.05,42,1000,105551.78658675254,1055.5178658675254,1.0,124.21459308591943
100,50,2.0,2,1.0,0.05,43,1000,105836.52724398977,1058.3652724398976,1.0,131.5740917490722
100,50,2.0,2,1.0,0.05,44,1000,106002.56165481884,1060.0256165481885,1.0,122.34407650447135
100,50,2.0,2,1.0,0.05,45,1000,105172.8477971916,1051.728477971916,1.0,123.10597355691537
100,50,2.0,2,1.0,0.05,46,1000,105776.17331346973,1057.7617331346974,1.0,122.19655586631993
100,50,2.0,2,1.0,0.05,47,1000,105366.52049487959,1053.665204948796,1.0,114.17863672152214
100,50,2.0,2,1.0,0.05,48,1000,105233.40135077387,1052.3340135077387,1.0,124.80909647370488
100,50,2.0,2,1.0,0.05,49,1000,105369.12032536967,1053.6912032536968,1.0,120.92630204822204
100,50,2.0,2,1.0,0.06,0,1000,105844.52679693101,1058.4452679693102,1.0,117.8459003289679
100,50,2.0,2,1.0,0.06,1,1000,105751.33982788921,1057.513398278892,1.0,114.68853062655512
100,50,2.0,2,1.0,0.06,2,1000,106442.1477603621,1064.421477603621,1.0,105.78737945010454
