collision_policy,n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
zero_on_collision,100,100,1.0,1,1.0,0.03,4,1000,506757.02374278416,5067.570237427842,1.0,3228.7429732460723
zero_on_collision,100,100,1.0,1,1.0,0.03,5,1000,520424.4459024785,5204.244459024785,1.0,3313.49808885066
zero_on_collision,100,100,1.0,1,1.0,0.03,6,1000,518813.49701627647,5188.134970162765,1.0,3214.3110248264325
zero_on_collision,100,100,1.0,1,1.0,0.03,7,1000,521539.37578640156,5215.393757864015,1.0,3261.075500650817
zero_on_collision,100,100,1.0,1,1.0,0.03,8,1000,506638.03370795277,5066.380337079528,1.0,3141.1944422926736
zero_on_collision,100,100,1.0,1,1.0,0.03,9,1000,515907.0115974705,5159.070115974705,1.0,3278.981140557411
zero_on_collision,100,100,1.0,1,1.0,0.03,10,1000,508944.5523721603,5089.445523721603,1.0,3317.6711045257894
zero_on_collision,100,100,1.0,1,1.0,0.03,11,1000,509720.0141286256,5097.200141286256,1.0,3199.768370460092
zero_on_collision,100,100,1.0,1,1.0,0.03,12,1000,507871.2352234175,5078.712352234175,1.0,3212.4715921307093
zero_on_collision,100,100,1.0,1,1.0,0.03,13,1000,511719.5431552747,5117.195431552747,1.0,3230.6207028533477
zero_on_collision,100,100,1.0,1,1.0,0.03,14,1000,510165.4143513113,5101.654143513113,1.0,3308.5247324377524
zero_on_collision,100,100,1.0,1,1.0,0.03,15,1000,521708.14573165716,5217.081457316572,1.0,3293.616287209661
zero_on_collision,100,100,1.0,1,1.0,0.03,16,1000,519664.38169173547,5196.643816917354,1.0,3305.740156354872
zero_on_collision,100,100,1.0,1,1.0,0.03,17,1000,505582.1774397094,5055.8217743970945,1.0,3234.698249048942
zero_on_collision,100,100,1.0,1,1.0,0.03,18,1000,513464.46942804346,5134.644694280435,1.0,3236.476391257874
zero_on_collision,100,100,1.0,1,1.0,0.03,19,1000,515017.63715779444,5150.176371577944,1.0,3187.9427654536894
zero_on_collision,100,100,1.0,1,1.0,0.03,20,1000,514820.7420559604,5148.207420559604,1.0,3318.1581771987967
zero_on_collision,100,100,1.0,1,1.0,0.03,21,1000,513977.9220556905,5139.779220556905,1.0,3219.929626894306
zero_on_collision,100,100,1.0,1,1.0,0.03,22,1000,519187.8875065903,5191.878875065903,1.0,3289.4871542104056
zero_on_collision,100,100,1.0,1,1.0,0.03,23,1000,524996.9312916558,5249.969312916557,1.0,3301.2054085024433
zero_on_collision,100,100,1.0,1,1.0,0.03,24,1000,525884.782278139,5258.84782278139,1.0,3211.260193477631
zero_on_collision,100,100,1.0,1,1.0,0.03,25,1000,514371.74771266873,5143.717477126687,1.0,3179.5127078977644
zero_on_collision,100,100,1.0,1,1.0,0.03,26,1000,507150.9041770763,5071.509041770763,1.0,3138.206082608348
zero_on_collision,100,100,1.0,1,1.0,0.03,27,1000,518056.3980875547,5180.563980875548,1.0,3195.06114615824
zero_on_collision,100,100,1.0,1,1.0,0.03,28,1000,517690.4907305242,5176.904907305242,1.0,3196.220968015
zero_on_collision,100,100,1.0,1,1.0,0.03,29,1000,510669.6027583192,5106.696027583192,1.0,3320.7239424322634
zero_on_collision,100,100,1.0,1,1.0,0.03,30,1000,527035.2521690727,5270.352521690727,1.0,3281.6185301846926
zero_on_collision,100,100,1.0,1,1.0,0.03,31,1000,525193.1119977499,5251.931119977499,1.0,3264.379231466344
zero_on_collision,100,100,1.0,1,1.0,0.03,32,1000,525424.4181913936,5254.244181913936,1.0,3262.7725736029693
zero_on_collision,100,100,1.0,1,1.0,0.03,33,1000,525300.7944040078,5253.007944040079,1.0,3316.4528366414456
zero_on_collision,100,100,1.0,1,1.0,0.03,34,1000,518467.8515239228,5184.678515239229,1.0,3239.1082495238616
zero_on_collision,100,100,1.0,1,1.0,0.03,35,1000,516818.35440213484,5168.183544021348,1.0,3213.1601410770686
zero_on_collision,100,100,1.0,1,1.0,0.03,36,1000,523199.8721602413,5231.998721602413,1.0,3247.420128940597
zero_on_collision,100,100,1.0,1,1.0,0.03,37,1000,520119.4794196755,5201.194794196755,1.0,3218.722725111329
zero_on_collision,100,100,1.0,1,1.0,0.03,38,1000,522938.3601907179,5229.383601907179,1.0,3244.489598839993
zero_on_collision,100,100,1.0,1,1.0,0.03,39,1000,520909.931298057,5209.09931298057,1.0,3300.585751883399
zero_on_collision,100,100,1.0,1,1.0,0.03,40,1000,510897.9737746674,5108.979737746674,1.0,3199.28663512102
zero_on_collision,100,100,1.0,1,1.0,0.03,41,1000,524698.1902600796,5246.981902600795,1.0,3286.215133782341
zero_on_collision,100,100,1.0,1,1.0,0.03,42,1000,506752.4722514232,5067.524722514232,1.0,3198.024288714234
zero_on_collision,100,100,1.0,1,1.0,0.03,43,1000,513754.88746270834,5137.548874627083,1.0,3246.6381368389248
