collision_policy,degradation_strength,n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
degradation,0.5,100,100,1.0,1,1.0,0.03,46,1000,443973.76420375216,4439.737642037521,1.0,1366.7426935874525
degradation,0.5,100,100,1.0,1,1.0,0.03,47,1000,446610.8798756882,4466.108798756882,1.0,1397.9849495453336
degradation,0.5,100,100,1.0,1,1.0,0.03,48,1000,448686.92797352176,4486.869279735218,1.0,1401.5421361606732
degradation,0.5,100,100,1.0,1,1.0,0.03,49,1000,450977.65417429456,4509.7765417429455,1.0,1420.28758174762
degradation,0.5,100,100,1.0,1,1.0,0.04,0,1000,457473.6265314202,4574.736265314202,1.0,1351.8884400256582
degradation,0.5,100,100,1.0,1,1.0,0.04,1,1000,449194.23924713535,4491.942392471354,1.0,1279.6686729605678
degradation,0.5,100,100,1.0,1,1.0,0.04,2,1000,449294.84782132384,4492.948478213239,1.0,1310.9672431596437
degradation,0.5,100,100,1.0,1,1.0,0.04,3,1000,452595.9870677245,4525.959870677245,1.0,1368.9133655652986
degradation,0.5,100,100,1.0,1,1.0,0.04,4,1000,444897.5946660002,4448.975946660003,1.0,1278.6053693507463
degradation,0.5,100,100,1.0,1,1.0,0.04,5,1000,443869.67617161456,4438.696761716145,1.0,1379.5936227334225
degradation,0.5,100,100,1.0,1,1.0,0.04,6,1000,450327.6850936442,4503.276850936442,1.0,1387.5145689137748
degradation,0.5,100,100,1.0,1,1.0,0.04,7,1000,449219.62026399793,4492.19620263998,1.0,1282.5981135215968
degradation,0.5,100,100,1.0,1,1.0,0.04,8,1000,447138.1835428949,4471.381835428949,1.0,1220.104652295975
degradation,0.5,100,100,1.0,1,1.0,0.04,9,1000,446553.13449405215,4465.531344940521,1.0,1314.3428856918104
degradation,0.5,100,100,1.0,1,1.0,0.04,10,1000,457054.4747430459,4570.544747430459,1.0,1409.9487489927392
degradation,0.5,100,100,1.0,1,1.0,0.04,11,1000,444985.54704810504,4449.85547048105,1.0,1378.711221729544
degradation,0.5,100,100,1.0,1,1.0,0.04,12,1000,450289.4871065998,4502.894871065998,1.0,1321.1221579667288
degradation,0.5,100,100,1.0,1,1.0,0.04,13,1000,445297.1829366828,4452.9718293668275,1.0,1418.9917774920502
degradation,0.5,100,100,1.0,1,1.0,0.04,14,1000,446905.73221941,4469.0573221941,1.0,1297.928289042547
degradation,0.5,100,100,1.0,1,1.0,0.04,15,1000,450963.23428226623,4509.632342822662,1.0,1457.5467897287117
degradation,0.5,100,100,1.0,1,1.0,0.04,16,1000,442245.8777746745,4422.458777746745,1.0,1263.5356481753836
degradation,0.5,100,100,1.0,1,1.0,0.04,17,1000,446649.2050238433,4466.492050238433,1.0,1267.8870507850945
degradation,0.5,100,100,1.0,1,1.0,0.04,18,1000,450718.5235305919,4507.185235305919,1.0,1346.1406774795405
degradation,0.5,100,100,1.0,1,1.0,0.04,19,1000,440917.3775533766,4409.173775533766,1.0,1338.2196381156568
degradation,0.5,100,100,1.0,1,1.0,0.04,20,1000,448880.98703132285,4488.809870313228,1.0,1408.6944619425292
degradation,0.5,100,100,1.0,1,1.0,0.04,21,1000,449718.3878744405,4497.183878744405,1.0,1397.5964596025692
degradation,0.5,100,100,1.0,1,1.0,0.04,22,1000,441832.30283092835,4418.3230283092835,1.0,1214.0973605217346
degradation,0.5,100,100,1.0,1,1.0,0.04,23,1000,449444.5261468534,4494.445261468534,1.0,1354.2026633522582
degradation,0.5,100,100,1.0,1,1.0,0.04,24,1000,444268.10889758315,4442.681088975832,1.0,1280.91484012933
degradation,0.5,100,100,1.0,1,1.0,0.04,25,1000,451772.326451921,4517.72326451921,1.0,1359.7223874287438
degradation,0.5,100,100,1.0,1,1.0,0.04,26,1000,449350.7232943191,4493.507232943191,1.0,1436.2064032821288
degradation,0.5,100,100,1.0,1,1.0,0.04,27,1000,451255.0066873636,4512.550066873636,1.0,1474.2069091699695
degradation,0.5,100,100,1.0,1,1.0,0.04,28,1000,450696.30196918536,4506.963019691853,1.0,1414.834783174866
degradation,0.5,100,100,1.0,1,1.0,0.04,29,1000,442356.5226124109,4423.565226124108,1.0,1258.197756932434
degradation,0.5,100,100,1.0,1,1.0,0.04,30,1000,456136.2955893336,4561.362955893335,1.0,1488.425819508998
degradation,0.5,100,100,1.0,1,1.0,0.04,31,1000,441297.75386517536,4412.977538651754,1.0,1264.3625521381143
degradation,0.5,100,100,1.0,1,1.0,0.04,32,1000,452749.80420877645,4527.498042087765,1.0,1387.9115148486542
degradation,0.5,100,100,1.0,1,1.0,0.04,33,1000,444766.0356923967,4447.660356923967,1.0,1357.715811522061
degradation,0.5,100,100,1.0,1,1.0,0.04,34,1000,447109.19056845317,4471.091905684531,1.0,1255.4419737689414
degradation,0.5,100,100,1.0,1,1.0,0.04,35,1000,444013.5060938839,4440.135060938839,1.0,1297.4958842126127
degradation,0.5,100,100,1.0,1,1.0,0.04,36,1000,449711.8147548922,4497.118147548922,1.0,1364.4738828448749
degradation,0.5,100,100,1.0,1,1.0,0.04,37,1000,443490.0566385041,4434.900566385041,1.0,1276.6143245472788
degradation,0.5,100,100,1.0,1,1.0,0.04,38,1000,453714.4316045495,4537.1443160454955,1.0,1373.443902000574
degradation,0.5,100,100,1.0,1,1.0,0.04,39,1000,449766.3236631783,4497.663236631783,1.0,1280.4207044657587
degradation,0.5,100,100,1.0,1,1.0,0.04,40,1000,448564.4316586688,4485.644316586688,1.0,1415.9413884556332
degradation,0.5,100,100,1.0,1,1.0,0.04,41,1000,442494.1885276298,4424.941885276298,1.0,1275.475404884431
degradation,0.5,100,100,1.0,1,1.0,0.04,42,1000,439584.00903121225,4395.840090312123,1.0,1354.6954916880193
degradation,0.5,100,100,1.0,1,1.0,0.04,43,1000,450302.6271571074,4503.026271571074,1.0,1271.894910366115
degradation,0.5,100,100,1.0,1,1.0,0.04,44,1000,452766.46371536073,4527.664637153607,1.0,1347.2733129936157
degradation,0.5,100,100,1.0,1,1.0,0.04,45,1000,447895.2970208483,4478.952970208483,1.0,1305.1094933465029
degradation,0.5,100,100,1.0,1,1.0,0.04,46,1000,451674.4027070007,4516.744027070007,1.0,1315.4167921299745
degradation,0.5,100,100,1.0,1,1.0,0.04,47,1000,446862.4974611613,4468.624974611613,1.0,1321.3647476909414
