n_agents,n_arms,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
1,3,0.5,0.05,46,1000,1905.1751498071678,1905.1751498071678,0.0,0.0
1,3,0.5,0.05,47,1000,1898.4236233466365,1898.4236233466365,0.0,0.0
1,3,0.5,0.05,48,1000,1890.9743139256643,1890.9743139256643,0.0,0.0
1,3,0.5,0.05,49,1000,1869.099021000847,1869.099021000847,0.0,0.0
1,3,0.5,0.1,0,1000,1933.2231344145769,1933.2231344145769,0.0,0.0
1,3,0.5,0.1,1,1000,1913.1963716105176,1913.1963716105176,0.0,0.0
1,3,0.5,0.1,2,1000,1870.7729124895625,1870.7729124895625,0.0,0.0
1,3,0.5,0.1,3,1000,1913.4596012782436,1913.4596012782436,0.0,0.0
1,3,0.5,0.1,4,1000,1951.8322409521381,1951.8322409521381,0.0,0.0
1,3,0.5,0.1,5,1000,1926.4323380889834,1926.4323380889834,0.0,0.0
1,3,0.5,0.1,6,1000,1921.3762099232104,1921.3762099232104,0.0,0.0
1,3,0.5,0.1,7,1000,1976.6482511769586,1976.6482511769586,0.0,0.0
1,3,0.5,0.1,8,1000,1932.9335579131393,1932.9335579131393,0.0,0.0
1,3,0.5,0.1,9,1000,1956.4890608470644,1956.4890608470644,0.0,0.0
1,3,0.5,0.1,10,1000,1943.9346115759208,1943.9346115759208,0.0,0.0
1,3,0.5,0.1,11,1000,1964.3908493821968,1964.3908493821968,0.0,0.0
1,3,0.5,0.1,12,1000,1926.1664068725806,1926.1664068725806,0.0,0.0
1,3,0.5,0.1,13,1000,1945.8547479013234,1945.8547479013234,0.0,0.0
1,3,0.5,0.1,14,1000,1924.925527162597,1924.925527162597,0.0,0.0
1,3,0.5,0.1,15,1000,1930.2958431211252,1930.2958431211252,0.0,0.0
1,3,0.5,0.1,16,1000,1950.990876521096,1950.990876521096,0.0,0.0
1,3,0.5,0.1,17,1000,1939.30437464259,1939.30437464259,0.0,0.0
1,3,0.5,0.1,18,1000,1890.630055351267,1890.630055351267,0.0,0.0
1,3,0.5,0.1,19,1000,1932.899805864364,1932.899805864364,0.0,0.0
1,3,0.5,0.1,20,1000,1922.38952941384,1922.38952941384,0.0,0.0
1,3,0.5,0.1,21,1000,1891.0096030564282,1891.0096030564282,0.0,0.0
1,3,0.5,0.1,22,1000,1929.914222686011,1929.914222686011,0.0,0.0
1,3,0.5,0.1,23,1000,1956.0054819282668,1956.0054819282668,0.0,0.0
1,3,0.5,0.1,24,1000,1939.6650429343642,1939.6650429343642,0.0,0.0
1,3,0.5,0.1,25,1000,1951.6920795943602,1951.6920795943602,0.0,0.0
1,3,0.5,0.1,26,1000,1945.878016478118,1945.878016478118,0.0,0.0
1,3,0.5,0.1,27,1000,1918.857993840114,1918.857993840114,0.0,0.0
1,3,0.5,0.1,28,1000,1901.2185643405835,1901.2185643405835,0.0,0.0
1,3,0.5,0.1,29,1000,1910.9583454731303,1910.9583454731303,0.0,0.0
1,3,0.5,0.1,30,1000,1906.4841008367214,1906.4841008367214,0.0,0.0
1,3,0.5,0.1,31,1000,1958.8019506553114,1958.8019506553114,0.0,0.0
1,3,0.5,0.1,32,1000,1959.8471466098224,1959.8471466098224,0.0,0.0
1,3,0.5,0.1,33,1000,1958.0695402273798,1958.0695402273798,0.0,0.0
1,3,0.5,0.1,34,1000,1930.7868515778275,1930.7868515778275,0.0,0.0
1,3,0.5,0.1,35,1000,1967.3860354931833,1967.3860354931833,0.0,0.0
1,3,0.5,0.1,36,1000,1932.0823420361282,1932.0823420361282,0.0,0.0
1,3,0.5,0.1,37,1000,1962.3901800414508,1962.3901800414508,0.0,0.0
1,3,0.5,0.1,38,1000,1964.086376671436,1964.086376671436,0.0,0.0
1,3,0.5,0.1,39,1000,1937.0811703000172,1937.0811703000172,0.0,0.0
1,3,0.5,0.1,40,1000,1916.9306477588764,1916.9306477588764,0.0,0.0
1,3,0.5,0.1,41,1000,1892.001679706355,1892.001679706355,0.0,0.0
1,3,0.5,0.1,42,1000,1928.1843179299249,1928.1843179299249,0.0,0.0
1,3,0.5,0.1,43,1000,1927.116429293348,1927.116429293348,0.0,0.0
1,3,0.5,0.1,44,1000,1947.0886420585196,1947.0886420585196,0.0,0.0
1,3,0.5,0.1,45,1000,1965.035258758606,1965.035258758606,0.0,0.0
1,3,0.5,0.1,46,1000,1951.945063239607,1951.945063239607,0.0,0.0
1,3,0.5,0.1,47,1000,1925.3542818616738,1925.3542818616738,0.0,0.0
1,3,0.5,0.1,48,1000,1879.9254817071333,1879.9254817071333,0.0,0.0
1,3,0.5,0.1,49,1000,1956.6645503171633,1956.6645503171633,0.0,0.0
1,3,0.5,0.2,0,1000,1888.9196684344706,1888.9196684344706,0.0,0.0
1,3,0.5,0.2,1,1000,1869.260574458844,1869.260574458844,0.0,0.0
1,3,0.5,0.2,2,1000,1875.8569673823552,1875.8569673823552,0.0,0.0
1,3,0.5,0.2,3,1000,1911.1567393477703,1911.1567393477703,0.0,0.0
1,3,0.5,0.2,4,1000,1828.4563770304271,1828.4563770304271,0.0,0.0
1,3,0.5,0.2,5,1000,1891.0510416581421,1891.0510416581421,0.0,0.0
1,3,0.5,0.2,6,1000,1888.2179474175987,1888.2179474175987,0.0,0.0
1,3,0.5,0.2,7,1000,1880.2466152324212,1880.2466152324212,0.0,0.0
1,3,0.5,0.2,8,1000,1906.2269461314722,1906.2269461314722,0.0,0.0
1,3,0.5,0.2,9,1000,1901.2868911264375,1901.2868911264375,0.0,0.0
1,3,0.5,0.2,10,1000,1869.7073780427347,1869.7073780427347,0.0,0.0
1,3,0.5,0.2,11,1000,1898.3329026681934,1898.3329026681934,0.0,0.0
1,3,0.5,0.2,12,1000,1831.271343205185,1831.271343205185,0.0,0.0
1,3,0.5,0.2,13,1000,1870.084490939311,1870.084490939311,0.0,0.0
1,3,0.5,0.2,14,1000,1907.5882607393614,1907.5882607393614,0.0,0.0
1,3,0.5,0.2,15,1000,1915.6700706085903,1915.6700706085903,0.0,0.0
1,3,0.5,0.2,16,1000,1925.1728733903433,1925.1728733903433,0.0,0.0
1,3,0.5,0.2,17,1000,1876.902652648003,1876.902652648003,0.0,0.0
1,3,0.5,0.2,18,1000,1892.3442459511525,1892.3442459511525,0.0,0.0
1,3,0.5,0.2,19,1000,1896.7971583153796,1896.7971583153796,0.0,0.0
1,3,0.5,0.2,20,1000,1903.79438305455,1903.79438305455,0.0,0.0
1,3,0.5,0.2,21,1000,1884.625520180633,1884.625520180633,0.0,0.0
1,3,0.5,0.2,22,1000,1917.2766084246648,1917.2766084246648,0.0,0.0
1,3,0.5,0.2,23,1000,1891.0665638894266,1891.0665638894266,0.0,0.0
1,3,0.5,0.2,24,1000,1913.5843637916144,1913.5843637916144,0.0,0.0
1,3,0.5,0.2,25,1000,1895.6276448260385,1895.6276448260385,0.0,0.0
1,3,0.5,0.2,26,1000,1894.2524738459354,1894.2524738459354,0.0,0.0
1,3,0.5,0.2,27,1000,1887.9679251885786,1887.9679251885786,0.0,0.0
