n_agents,n_arms,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
2,3,0.2,18,1000,3215.6316604487774,1607.8158302243887,0.13,195.07679718829206
2,3,0.2,19,1000,3163.6108200870776,1581.8054100435388,0.149,206.06238695046304
2,3,0.2,20,1000,3148.1718870788754,1574.0859435394377,0.154,144.08912937535115
2,3,0.2,21,1000,3132.2121717467962,1566.1060858733981,0.124,217.28187615167644
2,3,0.2,22,1000,3139.5950689303727,1569.7975344651863,0.134,199.50509655509256
2,3,0.2,23,1000,3024.7375359886973,1512.3687679943487,0.229,177.9852283169646
2,3,0.2,24,1000,3191.05854769659,1595.529273848295,0.105,191.09210134837292
2,3,0.2,25,1000,3201.322120888499,1600.6610604442494,0.116,241.0852446094228
2,3,0.2,26,1000,3139.2414945086657,1569.6207472543329,0.132,205.76057673913408
2,3,0.2,27,1000,3222.0058871729916,1611.0029435864958,0.125,170.55387098393783
2,3,0.2,28,1000,3154.010879199661,1577.0054395998304,0.126,181.34235226659075
2,3,0.2,29,1000,3225.8588628819134,1612.9294314409567,0.15,201.03526625952668
2,3,0.2,30,1000,3133.3700849007637,1566.6850424503818,0.137,201.11964233215292
2,3,0.2,31,1000,3088.8066700975965,1544.4033350487982,0.135,148.1951942116259
2,3,0.2,32,1000,3158.2264366371846,1579.1132183185923,0.125,203.1582526968008
2,3,0.2,33,1000,3177.314129058512,1588.657064529256,0.108,243.75079445508004
2,3,0.2,34,1000,3167.7861435992363,1583.8930717996182,0.129,195.05652748642615
2,3,0.2,35,1000,3019.17987215513,1509.589936077565,0.24,166.47464737602195
2,3,0.2,36,1000,3120.604611765217,1560.3023058826086,0.186,215.96982249375537
2,3,0.2,37,1000,3309.1443838319296,1654.5721919159648,0.115,208.09769996697287
2,3,0.2,38,1000,3175.3433776427255,1587.6716888213627,0.152,187.7604754048681
2,3,0.2,39,1000,3118.6930765739744,1559.3465382869872,0.166,168.6254751328089
2,3,0.2,40,1000,3197.5478113395957,1598.7739056697978,0.114,197.52512276341315
