collision_policy,n_agents,n_arms,agent_to_arm_ratio,agents_per_arm,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
full_value,100,50,2.0,2,1.0,0.04,38,1000,383799.15474618995,3837.9915474618992,1.0,255.28501342932677
full_value,100,50,2.0,2,1.0,0.04,39,1000,376336.3786467224,3763.363786467224,1.0,293.3087102386181
full_value,100,50,2.0,2,1.0,0.04,40,1000,382550.484013207,3825.50484013207,1.0,289.1208925125458
full_value,100,50,2.0,2,1.0,0.04,41,1000,384056.00650833006,3840.5600650833007,1.0,270.9767736088783
full_value,100,50,2.0,2,1.0,0.04,42,1000,377624.731669298,3776.2473166929803,1.0,264.8758923837025
full_value,100,50,2.0,2,1.0,0.04,43,1000,383664.0213682402,3836.6402136824017,1.0,263.4844887473623
full_value,100,50,2.0,2,1.0,0.04,44,1000,378016.2483556423,3780.162483556423,1.0,261.7654933183936
full_value,100,50,2.0,2,1.0,0.04,45,1000,382032.8173767726,3820.3281737677257,1.0,227.36015240597513
full_value,100,50,2.0,2,1.0,0.04,46,1000,382133.6087197773,3821.336087197773,1.0,272.9972514631964
full_value,100,50,2.0,2,1.0,0.04,47,1000,385966.79101404094,3859.6679101404093,1.0,239.5758490929583
full_value,100,50,2.0,2,1.0,0.04,48,1000,381283.5262215475,3812.8352622154753,1.0,290.1808493106503
full_value,100,50,2.0,2,1.0,0.04,49,1000,382349.11753512325,3823.4911753512324,1.0,277.86686920945397
full_value,100,50,2.0,2,1.0,0.05,0,1000,385495.83249295363,3854.9583249295365,1.0,249.25186681578631
full_value,100,50,2.0,2,1.0,0.05,1,1000,382711.34062949725,3827.1134062949727,1.0,233.288717126845
full_value,100,50,2.0,2,1.0,0.05,2,1000,386325.5774230185,3863.255774230185,1.0,207.77701080146412
full_value,100,50,2.0,2,1.0,0.05,3,1000,387188.88008264854,3871.8888008264853,1.0,239.4270466375663
full_value,100,50,2.0,2,1.0,0.05,4,1000,382474.7099622021,3824.7470996220213,1.0,257.47105912410444
full_value,100,50,2.0,2,1.0,0.05,5,1000,389376.72277755465,3893.7672277755464,1.0,218.20009627477404
full_value,100,50,2.0,2,1.0,0.05,6,1000,384118.5580149626,3841.185580149626,1.0,249.06955418292515
full_value,100,50,2.0,2,1.0,0.05,7,1000,389391.59453185677,3893.9159453185675,1.0,251.08610406598942
full_value,100,50,2.0,2,1.0,0.05,8,1000,383415.6928633825,3834.1569286338254,1.0,219.96351150091593
full_value,100,50,2.0,2,1.0,0.05,9,1000,389938.6286915715,3899.3862869157147,1.0,248.1940694689426
full_value,100,50,2.0,2,1.0,0.05,10,1000,386508.2587856791,3865.082587856791,1.0,239.92318318136438
full_value,100,50,2.0,2,1.0,0.05,11,1000,381405.3022854136,3814.053022854136,1.0,231.88569574242067
full_value,100,50,2.0,2,1.0,0.05,12,1000,382970.6053103739,3829.7060531037387,1.0,240.36226360717643
full_value,100,50,2.0,2,1.0,0.05,13,1000,386257.5002731545,3862.5750027315453,1.0,200.16315103362336
